#{"t_start": 1770202582.7196672, "env_id": "None"}
r,l,t
-526.7327,300,1.424764
-295.77902,300,1.424873
-233.47452,300,1.424893
-266.46246,300,1.424906
-612.5335,300,1.424917
-495.07727,300,1.424928
-563.85535,300,1.424938
-374.69528,300,1.424949
-174.60559,300,1.424959
-61.180588,300,1.424969
-526.6192,300,1.42498
-50.190502,300,1.424991
-295.52838,300,1.425001
-260.7283,300,1.425012
-555.4761,300,1.425022
-372.0759,300,1.425033
-141.5479,300,1.811393
-424.8672,300,1.811496
-578.4117,300,1.811511
-520.6708,300,1.811522
-259.70218,300,1.811533
-138.73366,300,1.811544
-708.9423,300,1.815851
-243.77225,300,1.815879
-1137.7686,300,1.815886
-319.41043,300,1.815892
-389.4561,300,1.815898
-445.90613,300,1.815903
-395.27948,300,1.815909
-482.99692,300,1.815914
-208.99683,300,1.815919
-439.80096,300,1.815924
-12.573308,190,2.017785
-166.29495,300,2.131307
-187.36766,300,2.131361
-166.69812,300,2.131371
-775.37476,300,2.131378
-562.64374,300,2.131385
-589.0581,300,2.131392
-211.81271,300,2.131398
-475.06265,300,2.131404
-276.84372,300,2.13141
-348.13937,300,2.131417
-101.19545,300,2.131423
-595.98267,300,2.131429
-1140.5653,300,2.131435
-466.16455,300,2.131441
-699.55756,300,2.131447
-66.22533,146,2.300047
-392.05624,300,2.345582
-169.87721,204,2.361647
-1165.4797,300,2.468669
-382.2235,300,2.468729
-444.077,300,2.468737
-217.45747,300,2.468743
-625.6448,300,2.468749
-968.9654,300,2.468755
-360.0018,300,2.46876
-326.40683,300,2.468766
-309.60803,300,2.468772
-490.5455,300,2.468777
-257.919,300,2.468783
-155.33153,300,2.468788
-610.7263,300,2.468794
-1048.2955,300,2.610635
-451.17258,300,2.652005
-75.34717,300,2.668554
-198.3669,300,2.763055
-1043.4503,300,2.763102
-341.47073,300,2.76311
-756.6994,300,2.763117
-325.59482,300,2.763123
-385.7923,300,2.763128
-396.56628,300,2.763134
-378.64194,300,2.763139
-514.67865,300,2.763145
-380.83884,300,2.763151
-697.34314,300,2.763156
-189.90408,300,2.763161
-1373.7428,300,2.763167
-185.36972,300,2.903048
-82.24642,300,2.945157
-376.63483,300,2.9587
-38.618637,294,3.042961
-706.40106,300,3.048709
-563.5431,300,3.048744
-649.1366,300,3.048754
-671.6626,300,3.04876
-461.26675,300,3.048766
-506.87808,300,3.048772
-269.45932,300,3.048778
-448.11313,300,3.048784
-318.73456,300,3.04879
-379.10577,300,3.048796
-416.07846,300,3.048802
-467.35342,300,3.048808
0.40979794,73,3.133136
-723.9446,300,3.216779
-457.72614,300,3.269028
-8.561919,194,3.27394
-943.4739,300,3.284892
-32.27183,300,18.065459
-965.72186,300,18.074674
-228.34152,300,18.074725
-226.92969,300,18.074738
-588.9841,300,18.074748
-376.58896,300,18.074757
-857.31396,300,18.074765
-975.8285,300,18.074774
-207.91728,300,18.074782
-206.60197,300,18.07479
-901.779,300,18.074799
-267.06717,300,18.182043
-788.1523,300,18.269321
-386.03595,300,18.321993
-414.42972,300,18.326622
-87.9548,300,18.339728
-44.508682,286,18.425705
-789.8258,300,18.43553
-328.84714,300,18.442111
-124.54846,300,18.442145
-565.7352,300,18.442154
-372.0707,300,18.442161
-351.27756,300,18.442167
-467.03003,300,18.442174
-294.08167,300,18.44218
-1264.5133,300,18.442186
-532.67773,300,18.442192
-541.9785,300,18.521444
-141.89746,300,18.597902
-141.02663,182,18.639615
-615.313,300,18.647842
-661.02057,300,18.651984
-1293.1248,300,18.662287
-1083.8373,300,18.751312
-519.1675,300,18.76095
-367.60812,300,18.769006
-168.71938,300,18.769054
-514.6634,300,18.769063
-842.5481,300,18.769069
-532.50287,300,18.769075
-164.57274,300,18.769081
-681.31824,300,18.769086
-974.4793,300,18.769093
-934.7984,300,18.852566
-371.192,300,18.936981
-820.02094,300,18.974515
-227.42091,300,18.983939
-604.8988,300,18.987862
-83.783195,300,18.998163
-28.171387,221,19.015081
-413.18063,300,19.088282
-557.3274,300,19.096895
-406.2669,300,19.10261
-819.37463,300,19.102696
-886.9622,300,19.102708
-312.2224,300,19.102714
-612.9842,300,19.10272
-290.0311,300,19.102726
-400.78867,300,19.102732
-259.3247,300,19.179339
-736.266,300,19.260459
-465.36356,300,19.304559
-558.6338,300,19.31357
-628.95996,300,19.318431
-188.10503,300,19.331661
-242.4623,300,19.350063
-250.65561,300,19.424924
-311.12457,300,19.434024
-712.91504,300,19.440873
-119.69399,300,19.440907
-310.20828,300,19.440915
-189.84756,300,19.440921
-924.6363,300,19.440927
-256.3142,300,19.440933
-1099.9591,300,19.440938
-451.68066,300,19.532923
-428.9084,300,19.626217
-549.22943,300,19.673668
-280.53015,300,19.684384
-35.347565,300,19.690852
-1021.66864,300,19.705646
-232.64455,300,19.725049
-500.96304,300,19.795877
-79.562584,300,19.804769
-515.2538,300,19.811645
-315.12442,300,19.811686
-126.46979,300,19.811697
-342.38284,300,19.811704
-936.53375,300,19.811712
-657.13086,300,19.811719
-262.8854,300,19.811726
-289.6843,300,19.909253
-301.30743,300,20.003012
-758.9707,300,20.0516
-997.2982,300,20.061382
-303.42337,300,20.068959
-539.6906,300,20.080966
1.4596173,74,20.10217
-669.30914,300,20.103429
-419.59827,300,20.179434
-370.5221,300,20.189016
-636.9011,300,20.195957
-66.319855,300,20.195999
-365.11923,300,20.196009
-240.77628,300,20.196015
-1175.6978,300,20.196021
-415.11984,300,20.196027
-336.82135,300,20.196033
-152.1395,300,20.277478
-652.7458,300,20.397233
-91.77162,300,20.405498
-474.0667,300,20.409931
-66.017075,300,36.440901
-217.9325,300,36.4716
-197.46088,300,36.473658
-11.957083,266,36.548655
-325.42056,300,36.581784
-295.3403,300,36.593652
-178.17255,300,36.605202
-316.01538,300,36.605277
-863.51294,300,36.605301
-269.17194,300,36.605319
-401.09018,300,36.605335
-128.2784,300,36.60535
-409.82526,300,36.685858
-928.8166,300,36.801657
-329.00058,300,36.809123
-507.75024,300,36.812903
-441.94272,300,36.822819
-579.8932,300,36.839346
-395.5053,300,36.840414
-315.7588,300,36.883425
-745.8627,300,36.901259
-268.67557,300,36.908671
-372.799,300,36.914271
-530.97327,300,36.914302
-435.84946,300,36.914311
-351.14548,300,36.914318
-250.87448,300,36.914324
-265.01904,300,36.91433
-329.12778,300,36.982296
-397.57605,300,37.082854
-412.05966,300,37.09084
-148.18915,300,37.094945
-735.2783,300,37.105592
-342.7931,300,37.124495
-411.66147,300,37.125669
-505.75296,300,37.172853
-285.87054,300,37.19223
-800.0589,300,37.200662
-233.00125,300,37.207855
-391.28317,300,37.207894
-1112.1274,300,37.207902
-289.31213,300,37.207908
-122.140884,300,37.207914
-764.2092,300,37.207921
-250.28572,300,37.282537
-272.25345,300,37.400649
-234.29816,300,37.40958
-200.92706,300,37.414052
-1148.3389,300,37.424521
-676.42706,300,37.439852
-430.6993,300,37.440966
-275.21713,300,37.482958
-259.3942,300,37.502844
-200.58069,300,37.512187
-328.5852,300,37.518506
-475.08658,300,37.518548
-798.71735,300,37.518556
-436.08286,300,37.518563
-469.89606,300,37.518569
-401.2107,300,37.518574
-454.4898,300,37.600477
-77.91857,300,37.711244
-341.74207,300,37.718934
-297.99667,300,37.722612
-139.0634,300,37.731587
-330.19705,300,37.74629
-320.0545,300,37.74741
-462.79712,300,37.791141
-894.18994,300,37.811053
-365.8779,300,37.818989
-365.7314,300,37.824773
-678.17334,300,37.824817
-598.9541,300,37.824827
-265.74515,300,37.824834
-515.3142,300,37.82484
-676.6666,300,37.824846
-322.92197,300,37.89405
-405.0406,300,37.999145
-688.6166,300,38.0071
-334.8544,300,38.01109
-364.0392,300,38.020384
-449.29837,300,38.035972
-155.03778,300,38.037277
-984.15265,300,38.085182
-109.470535,300,38.107164
-323.67722,300,38.117189
-301.73633,300,38.123463
-288.79822,300,38.123521
-496.84744,300,38.123531
-734.2368,300,38.123539
-888.28064,300,38.123547
-79.73595,300,38.123554
-490.07407,300,38.202414
-982.9135,300,38.323522
-566.3929,300,38.332345
-1137.392,300,38.337057
-487.22375,300,38.348705
-291.3195,300,38.36615
-598.3821,300,38.367233
-219.57556,300,38.418877
-416.97067,300,38.442108
-501.64102,300,38.452101
-126.04544,300,38.458741
-168.32915,300,38.458789
-137.80861,300,38.458804
-290.09387,300,38.458814
-228.43439,300,38.458824
-566.08405,300,38.458834
-421.51257,300,38.540672
-97.83221,262,54.71644
-73.21653,300,54.763346
-99.94643,300,54.782926
-141.14558,300,54.801156
-406.0799,300,54.827722
-427.87735,300,54.829266
-187.05115,300,54.902359
-428.7088,300,54.923417
-525.0059,300,54.932453
-530.40704,300,54.939578
-456.9803,300,54.939611
-361.36942,300,54.93962
-712.68085,300,54.939626
-646.8364,300,54.939632
-770.79004,300,54.939638
-995.9287,300,55.016634
-703.171,300,55.094803
-475.46753,300,55.123726
-439.82117,300,55.135137
-341.0548,300,55.144772
-315.03116,300,55.159796
-466.79675,300,55.160838
-356.18753,300,55.204354
-890.6485,300,55.224122
-482.27948,300,55.231947
-386.36063,300,55.237717
-400.34735,300,55.237762
-548.7432,300,55.237779
-574.5581,300,55.237792
-191.1208,300,55.237803
-388.4622,300,55.237814
-459.17633,300,55.311163
-354.04425,300,55.3888
-110.32476,300,55.417947
-90.75609,300,55.429302
-455.48694,300,55.439156
-407.18094,300,55.454855
-162.73064,300,55.456021
-567.8936,300,55.498677
-401.0204,300,55.518231
-274.49136,300,55.525996
-365.78864,300,55.53192
-370.95178,300,55.531955
-313.18076,300,55.531964
-312.6174,300,55.531972
-9.78059,300,55.531978
-297.87762,300,55.531984
-244.42357,300,55.606967
-445.63202,300,55.69344
-353.12836,300,55.727023
-476.57108,300,55.740157
-173.86552,300,55.751477
-1024.2081,300,55.770238
-293.03796,300,55.771592
-988.2636,300,55.824424
-220.5489,291,55.836266
-371.79163,300,55.858891
-511.90573,300,55.865483
-272.6735,300,55.865556
-88.42748,300,55.865573
-358.94617,300,55.865586
-393.59436,300,55.865599
-204.61794,300,55.86561
-586.30725,300,55.944054
-213.3622,300,56.029931
-246.99626,300,56.06253
-653.4304,300,56.077044
-121.81241,300,56.089403
-381.98447,300,56.106764
-905.5033,300,56.107939
-138.26822,300,56.158472
-748.38385,300,56.171096
-314.13263,300,56.192135
-298.22974,300,56.2006
-1091.6853,300,56.200685
-258.55322,300,56.200709
-307.7044,300,56.200727
-413.45062,300,56.200742
-74.45038,300,56.200757
-302.22577,300,56.292701
-215.37265,300,56.392878
-413.82297,300,56.428589
-391.02466,300,56.447937
-636.111,300,56.462277
-441.80392,300,56.478666
-329.5041,300,56.47974
-213.74887,300,56.529378
-1267.3337,300,56.543538
-282.37973,300,56.562533
-457.39032,300,56.568177
-266.15195,300,56.568217
-580.9895,300,56.568227
-476.93924,300,56.568234
-344.7987,300,56.568241
-225.10248,300,56.568248
-428.16568,300,56.648417
-625.95764,300,56.736213
-9.5750675,244,56.750427
-586.5469,300,56.769136
-473.13718,300,56.781752
-287.3618,300,56.793129
-456.69818,300,56.810431
-807.8009,300,56.859628
-433.87912,300,56.871548
-422.24088,300,56.889703
-261.00253,300,56.8957
-686.5279,300,56.895732
-238.96176,300,56.895741
-1096.0118,300,56.895749
-272.03125,300,56.895755
-350.35068,300,56.895761
-693.64496,300,56.974785
-678.40515,300,73.125279
-634.9183,300,73.150107
-497.8848,300,73.195975
-73.0619,183,73.19995
-564.1749,300,73.219371
-203.11197,300,73.230206
-218.87828,300,73.247913
-343.91296,300,73.300604
-273.47974,300,73.312328
-752.78723,300,73.332645
-1333.127,300,73.339375
-345.1652,300,73.339417
-328.3226,300,73.339427
-713.1932,300,73.339436
-370.98395,300,73.339443
-417.39188,300,73.427835
-467.42474,300,73.534006
-167.50911,300,73.549669
-808.86444,300,73.571078
-777.21747,300,73.57288
-590.9324,300,73.585369
-355.7945,300,73.596308
-601.8782,300,73.614568
-214.77745,300,73.666762
-213.67537,300,73.680511
-442.44855,300,73.699674
-389.68097,300,73.708575
-606.4061,300,73.708616
-502.49362,300,73.708624
-501.08728,300,73.708631
-429.88885,300,73.708637
-77.1452,149,73.729357
-996.68463,300,73.812878
-741.8184,300,73.906392
-22.152935,96,73.928146
-374.16992,300,73.941729
-237.0934,300,73.943042
-533.2826,300,73.955315
-568.2459,300,73.965767
-371.51434,300,73.981854
-884.76465,300,74.030811
-118.62646,300,74.045519
-84.398254,300,74.065668
-367.03455,300,74.073062
-264.6059,300,74.073105
-640.06244,300,74.073114
-525.0146,300,74.073121
-277.37277,300,74.073127
-311.33286,300,74.089576
-52.816,300,74.258544
-229.29485,300,74.277001
-913.57544,300,74.292222
-19.687262,300,74.293593
-347.51706,300,74.306759
-918.0845,300,74.318196
-449.70322,300,74.337302
-1106.9321,300,74.400067
-173.56287,300,74.412892
-400.47256,300,74.4344
-175.41899,300,74.442041
-224.22995,300,74.442103
-300.433,300,74.442121
-136.71506,300,74.442136
-145.55742,300,74.442151
-461.76852,300,74.462404
-294.57394,300,74.642915
-1084.4039,300,74.663092
-475.42285,300,74.679481
-542.8672,300,74.680825
-80.064384,300,74.696905
-574.40045,300,74.710662
-382.31924,300,74.732147
-135.89139,300,74.785668
-640.37964,300,74.800455
-463.11865,300,74.824377
-388.0476,300,74.832925
-489.6599,300,74.832977
-142.91805,300,74.832986
-229.23659,300,74.832993
-800.2237,300,74.833
-362.8783,300,74.849667
-297.0349,300,74.999307
-187.79463,300,75.019511
-459.55365,300,75.032544
-347.2191,300,75.033556
-711.1547,300,75.044301
-1035.378,300,75.05371
-298.0526,300,75.069414
-212.63326,220,75.069485
-100.757454,300,75.114337
-485.11066,300,75.124944
-261.61877,300,75.140702
-408.07773,300,75.146601
-442.2989,300,75.146633
-273.8478,300,75.146642
-688.3355,300,75.146649
-590.4922,300,75.160069
-108.090935,187,75.217006
-241.50124,300,75.294106
-436.94803,294,75.304641
-555.6363,300,75.322279
-632.92615,300,75.333721
-366.28696,300,75.343721
-345.02454,300,75.361013
-259.93436,300,75.361054
-211.67638,300,75.40754
-802.31067,300,75.418233
-273.1126,300,75.434963
-81.06183,300,75.441525
-618.36444,300,75.441559
-570.74554,300,75.441568
-1112.6323,300,75.441575
-247.8191,300,75.455971
-648.5379,300,91.525968
-330.85962,300,91.641336
-400.6354,300,91.653538
-599.2046,300,91.679122
-285.95514,300,91.693163
-255.9917,300,91.702935
-390.0266,300,91.718144
-335.23904,300,91.718181
-34.95034,300,91.764239
-808.2574,300,91.776261
-560.8828,300,91.795202
-179.60262,300,91.803669
-857.07416,300,91.803711
-62.61547,300,91.80372
-237.45532,300,91.803727
-106.51434,300,91.819105
-766.87006,300,91.877033
-102.49362,300,91.957413
-155.04298,300,91.968569
-965.10345,300,91.990898
-39.371914,300,92.005008
-408.93997,300,92.014248
-325.2314,300,92.030746
-312.98013,300,92.030798
-425.4701,300,92.076444
-172.25383,300,92.087056
-482.45526,300,92.104439
-327.48148,300,92.110617
-123.16225,300,92.110649
-1076.9279,300,92.110657
-721.2354,300,92.110663
-744.6025,300,92.125688
-287.76648,248,92.129877
-20.789158,141,92.147942
-208.66885,300,92.265182
-518.0781,300,92.276304
-289.31616,300,92.29409
-262.5928,300,92.315717
-467.63635,300,92.332612
-274.28195,300,92.332653
-452.7837,300,92.38437
-385.55762,300,92.3965
-663.1607,300,92.416147
-631.10474,300,92.422096
-999.0021,300,92.422142
-216.1629,300,92.422151
-459.79916,300,92.422158
-168.56242,300,92.435239
-811.8907,300,92.439269
-296.7572,300,92.457032
-307.23737,300,92.574749
-332.77228,300,92.586008
-368.44476,300,92.604988
-863.1777,300,92.626847
-203.60788,300,92.643122
-100.217316,300,92.643163
-496.74185,300,92.695841
-162.81563,300,92.709641
-209.20868,300,92.728501
-360.98257,300,92.735409
-382.06305,300,92.735443
-230.8079,300,92.735454
-210.30898,300,92.735462
-301.25528,300,92.751378
-473.7503,300,92.755913
-438.26898,300,92.774541
-535.86975,300,92.905049
-1332.9657,300,92.918849
-344.65356,300,92.940276
-239.61533,300,92.964509
-492.74,300,92.982328
-567.5257,300,92.982385
-392.61868,300,93.038306
-400.9256,300,93.049966
-539.1602,300,93.068157
-933.1139,300,93.074889
-394.91263,300,93.074942
-400.90768,300,93.074953
-976.8218,300,93.074961
-597.73737,300,93.090842
-425.79028,300,93.095216
-758.1109,300,93.113751
-617.8871,300,93.239468
-314.00977,300,93.251722
-434.72995,300,93.273147
-252.56932,300,93.297346
-24.80373,300,93.314736
-321.93958,300,93.314779
-469.35556,300,93.363725
-389.15408,300,93.376074
-218.7531,300,93.394683
-753.39246,300,93.401244
-130.10083,300,93.401285
-333.34775,300,93.401296
-1010.69635,300,93.401304
-234.25836,300,93.417245
-237.0221,300,93.422157
-512.34186,300,93.442103
-352.82965,300,93.579309
-57.70765,300,93.591657
-349.19537,300,93.61263
-478.8198,300,93.636583
-253.711,223,93.651176
-174.69339,300,93.654262
-1039.6643,300,93.654301
-420.73477,300,93.700096
-974.6463,300,93.710714
-49.698288,300,109.025911
-242.86115,300,109.026008
-402.94476,300,109.026032
-329.1299,300,109.02605
-984.03143,300,109.043757
-381.1294,300,109.048544
-286.7162,300,109.077174
-56.70127,300,109.231103
-86.965256,300,109.241735
-355.67264,300,109.260465
-712.3044,300,109.28119
-193.4743,300,109.293233
-409.23254,300,109.296126
-1009.5838,300,109.296157
-430.9284,300,109.338805
-272.06888,300,109.349286
-392.67218,300,109.369883
-208.93748,300,109.369934
-410.65906,300,109.369943
-385.79462,300,109.36995
-441.3502,300,109.384719
-109.481804,300,109.388488
-287.8944,300,109.404372
-96.67194,300,109.522224
-428.41443,300,109.533737
-159.93898,300,109.552809
-732.99335,300,109.575552
-274.59616,300,109.589454
-931.9485,300,109.593223
-112.26066,300,109.593264
-286.23462,300,109.644462
-248.35791,300,109.656505
-59.00071,279,109.658745
-384.00156,300,109.679023
-701.99536,300,109.679064
-223.24,300,109.679074
-229.33452,300,109.693073
-167.1353,300,109.696963
-319.11755,300,109.714308
-1.7253779,113,109.799861
-83.12983,300,109.841803
-431.69153,300,109.854063
-218.95625,300,109.874619
-93.83811,229,109.888536
-449.4808,300,109.898157
-462.912,300,109.912417
-580.93146,300,109.91571
-363.30264,300,109.915743
-420.13498,300,109.982933
-1327.1044,300,109.98531
-1029.2404,300,110.007564
-488.50784,300,110.007605
-491.9305,300,110.022479
-217.55692,300,110.027105
-396.68533,300,110.04757
-231.80228,300,110.133433
-219.95897,300,110.176846
-548.2291,300,110.189521
-548.8031,300,110.211251
-394.93015,300,110.226221
-404.25375,300,110.236482
-699.35144,300,110.25126
-422.46677,300,110.254836
-292.4748,300,110.254866
-586.1796,300,110.317675
-202.66898,300,110.320034
-986.18335,300,110.342726
-343.43332,300,110.342762
-370.1848,300,110.356997
